oferta_id,empresa,area,nivel_requerido,ciudad,modalidad,tipo_contrato,salario_minimo_cop,salario_maximo_cop,vacantes,skills_requeridos,estado,fecha_publicacion,dias_abierta
1,Pragma,Frontend,Junior,Medellín,Híbrido,Medio Tiempo,2000000,3212683,3,React|TypeScript,Pausada,2024-03-17,29
2,Pragma,Ciberseguridad,Senior,Barranquilla,Remoto,Freelance,7000000,8813541,1,Burp Suite|Kali,Cerrada,2024-03-07,74
3,Arus,Data Science,Lead,Villavicencio,Remoto,Tiempo Completo,10000000,13861278,1,Pandas|TensorFlow|SQL,Activa,2024-04-28,120
4,Habi,BI & Analytics,Junior,Tunja,Remoto,Medio Tiempo,2000000,3297953,1,DAX|SQL|Python|Power BI,Cerrada,2024-02-15,63
5,MercadoLibre,BI & Analytics,Junior,Popayán,Remoto,Tiempo Completo,2000000,3122354,3,SQL|Excel|Python,Activa,2024-10-04,106
6,Pragma,BI & Analytics,Semi-Senior,Cali,Remoto,Tiempo Completo,4000000,6760766,4,Excel|Tableau|Python,Activa,2024-01-29,47
7,Bancolombia Digital,BI & Analytics,Lead,Villavicencio,Remoto,Práctica,10000000,11641609,1,SQL|Tableau|Excel,Activa,2024-07-20,47
8,Bancolombia Digital,Mobile,Senior,Neiva,Presencial,Práctica,7000000,8823539,3,React Native|Kotlin|Flutter|Swift,Cerrada,2024-04-06,38
9,MercadoLibre,Full Stack,Lead,Neiva,Remoto,Medio Tiempo,10000000,11708599,4,React|Node.js|Docker,Activa,2024-03-01,12
10,Konrad Lorenz Tech,BI & Analytics,Semi-Senior,Tunja,Híbrido,Freelance,4000000,6118012,2,DAX|SQL|Python|Tableau,Activa,2024-09-20,109
11,Habi,Full Stack,Junior,Montería,Remoto,Medio Tiempo,2000000,4304994,1,React|Docker|Node.js,Cerrada,2024-10-19,58
12,PSL,DevOps,Semi-Senior,Neiva,Remoto,Freelance,4000000,7796386,1,Jenkins|Kubernetes,Activa,2024-04-30,29
13,Rappi Tech,Data Science,Semi-Senior,Cali,Híbrido,Freelance,4000000,7803729,5,SQL|TensorFlow|Pandas|Scikit-learn,Activa,2024-01-15,48
14,Truora,BI & Analytics,Senior,Ibagué,Presencial,Práctica,7000000,10461328,3,Power BI|Python|Tableau,Cerrada,2024-06-20,35
15,Arus,Machine Learning,Lead,Villavicencio,Presencial,Práctica,10000000,11266682,4,TensorFlow|PyTorch,Activa,2024-05-23,17
16,TechCorp Colombia,Mobile,Senior,Tunja,Híbrido,Tiempo Completo,7000000,10402021,3,Kotlin|Swift,Pausada,2024-06-05,66
17,Konrad Lorenz Tech,BI & Analytics,Semi-Senior,Pasto,Híbrido,Práctica,4000000,6665452,3,SQL|Python,Cerrada,2024-04-03,24
18,Siigo,Mobile,Semi-Senior,Pasto,Híbrido,Tiempo Completo,4000000,6114405,2,Kotlin|Swift|Flutter|Dart,Activa,2024-05-26,7
19,PSL,BI & Analytics,Junior,Ibagué,Presencial,Medio Tiempo,2000000,3234195,4,Power BI|SQL|Excel,Activa,2024-04-22,85
20,Truora,Data Science,Junior,Popayán,Presencial,Medio Tiempo,2000000,3595963,1,Scikit-learn|SQL,Activa,2024-10-08,58
21,Nequi,QA,Semi-Senior,Pasto,Híbrido,Freelance,4000000,5739112,4,Postman|JMeter|Selenium,Cerrada,2024-09-15,68
22,Nequi,Backend,Lead,Bucaramanga,Híbrido,Tiempo Completo,10000000,13900365,5,Spring Boot|Java|FastAPI|SQL,Activa,2024-06-23,113
23,Pragma,Ciberseguridad,Lead,Montería,Presencial,Freelance,10000000,12705981,2,Python|OWASP|Kali,Activa,2024-01-02,15
24,Platzi,Frontend,Lead,Cali,Remoto,Freelance,10000000,12365177,5,React|TypeScript,Cerrada,2024-01-24,14
25,Pragma,Full Stack,Semi-Senior,Cali,Presencial,Medio Tiempo,4000000,6341290,4,JavaScript|Python|Node.js,Cerrada,2024-04-09,25
26,Nequi,DevOps,Junior,Villavicencio,Híbrido,Tiempo Completo,2000000,5073567,2,AWS|Terraform,Pausada,2024-04-11,16
27,Pragma,QA,Senior,Popayán,Presencial,Medio Tiempo,7000000,8112361,5,Pytest|Postman|Selenium,Cerrada,2024-10-21,90
28,Habi,Diseño UX/UI,Senior,Pasto,Híbrido,Medio Tiempo,7000000,8984114,2,CSS|Sketch|Prototyping|Figma,Activa,2024-08-14,30
29,Truora,Mobile,Senior,Manizales,Presencial,Medio Tiempo,7000000,8541915,2,Flutter|React Native|Swift,Activa,2024-02-14,65
30,Platzi,Backend,Junior,Neiva,Remoto,Medio Tiempo,2000000,4631961,5,Spring Boot|Java|FastAPI|SQL,Activa,2024-03-02,98
31,TechCorp Colombia,Data Science,Junior,Armenia,Remoto,Medio Tiempo,2000000,4662730,1,TensorFlow|Scikit-learn|R|SQL,Activa,2024-10-10,29
32,Addi,Backend,Lead,Santa Marta,Híbrido,Freelance,10000000,12688363,4,Java|Spring Boot|FastAPI,Activa,2024-08-14,97
33,Pragma,DevOps,Semi-Senior,Bucaramanga,Híbrido,Tiempo Completo,4000000,7662294,1,Jenkins|Terraform,Cerrada,2024-05-29,42
34,MercadoLibre,Full Stack,Semi-Senior,Bucaramanga,Híbrido,Freelance,4000000,6698807,1,Docker|JavaScript|SQL,Activa,2024-06-21,28
35,Siigo,DevOps,Lead,Cali,Híbrido,Tiempo Completo,10000000,13229577,1,Kubernetes|Docker,Activa,2024-09-08,36
36,Siigo,Ciberseguridad,Senior,Tunja,Presencial,Tiempo Completo,7000000,10739724,5,Python|Linux|Burp Suite|OWASP,Activa,2024-01-07,114
37,Inlaze,BI & Analytics,Junior,Cúcuta,Híbrido,Práctica,2000000,3961496,5,SQL|Tableau|Excel,Cerrada,2024-08-30,56
38,Komet Sales,Ciberseguridad,Junior,Ibagué,Presencial,Tiempo Completo,2000000,3730982,1,Python|OWASP|Kali,Activa,2024-08-07,93
39,Arus,QA,Lead,Bogotá,Híbrido,Tiempo Completo,10000000,13416892,4,JMeter|Cypress|Pytest,Activa,2024-04-18,76
40,Truora,Frontend,Junior,Bogotá,Remoto,Tiempo Completo,2000000,4063763,2,JavaScript|CSS,Activa,2024-03-22,86
41,Globant,Full Stack,Lead,Cartagena,Híbrido,Tiempo Completo,10000000,11627766,3,Docker|SQL,Activa,2024-04-13,74
42,Bold,Machine Learning,Lead,Tunja,Híbrido,Práctica,10000000,12702817,1,Python|TensorFlow,Activa,2024-09-24,61
